Form,Temper,tensile_strength,Cu,Pb,Zn,Fe,P,Ag,As,O,Sb,Te,Ni,Bi,Cd,sn,S,Mn,Zr,Mg,Co,Al,Be,Cr,Si,Ti,Ca,Li,B,C
wire,Spring,35,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,1/2 Hard,66,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/4 Hard,42,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,38,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,36,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Extra Spring,34,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,32,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,57,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Noal Grain Size 0.025 mm,50,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Nominal Grain Size 0.050 mm,45,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Spring,34,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,32,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,55,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,32,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,55,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Nominal Grain Size 0.050 mm,48,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,As Hot Extruded,45,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,As Hot Rolled,32,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard,32,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Nominal Grain Size 0.050 mm,32,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard Drawn,32,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,"Light Drawn, Light Cold Rolled",55,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Noal Grain Size 0.025 mm,40,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Nominal Grain Size 0.050 mm,34,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Hard,32,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,Nominal Grain Size 0.050 mm,55,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,Spring,35,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,1/2 Hard,66,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/4 Hard,42,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,38,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,36,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,32,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,45,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Noal Grain Size 0.025 mm,50,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Nominal Grain Size 0.050 mm,43,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,32,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pipe,Hard,50,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,48,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,55,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard,40,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Nominal Grain Size 0.050 mm,32,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Hard Drawn,55,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,"Light Drawn, Light Cold Rolled",40,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Noal Grain Size 0.025 mm,34,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Nominal Grain Size 0.050 mm,32,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/2 Hard,42,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/4 Hard,38,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,36,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,34,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,32,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,57,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,50,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Noal Grain Size 0.025 mm,45,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Nominal Grain Size 0.050 mm,34,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Spring,32,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,55,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,32,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,55,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,48,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Nominal Grain Size 0.050 mm,45,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,As Hot Extruded,32,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,As Hot Rolled,32,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard,32,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Nominal Grain Size 0.050 mm,40,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard Drawn,32,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,"Light Drawn, Light Cold Rolled",55,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Nominal Grain Size 0.050 mm,40,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Hard,34,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Nominal Grain Size 0.050 mm,32,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,Spring,35,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,1/2 Hard,66,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/4 Hard,42,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,38,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,36,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,34,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Extra Spring,32,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,57,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,50,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Noal Grain Size 0.025 mm,45,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Nominal Grain Size 0.050 mm,34,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Spring,32,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,55,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,55,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Extruded,48,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,As Hot Rolled,32,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard,32,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Nominal Grain Size 0.050 mm,40,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard Drawn,32,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,"Light Drawn, Light Cold Rolled",55,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Noal Grain Size 0.025 mm,40,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Nominal Grain Size 0.050 mm,34,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Hard,32,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,Nominal Grain Size 0.050 mm,55,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,Spring,35,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,1/2 Hard,66,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/4 Hard,42,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,38,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,36,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,34,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Extra Spring,32,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,57,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,50,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Noal Grain Size 0.025 mm,45,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Nominal Grain Size 0.050 mm,34,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Spring,32,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,55,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,32,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,45,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Nominal Grain Size 0.050 mm,48,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,As Hot Extruded,55,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,As Hot Rolled,32,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard,32,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Nominal Grain Size 0.050 mm,32,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,Hard Drawn,40,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shapes,"Light Drawn, Light Cold Rolled",32,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Noal Grain Size 0.025 mm,55,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Nominal Grain Size 0.050 mm,40,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Hard,34,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Nominal Grain Size 0.050 mm,32,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,Spring,55,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,1/2 Hard,35,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wire,1/4 Hard,66,99.95,0,0,0,0,0.085,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,42,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,38,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,36,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,32,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Noal Grain Size 0.025 mm,45,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Nominal Grain Size 0.050 mm,50,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Spring,32,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,55,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pipe,Hard,50,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,48,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Hard,45,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rod,Drawn General Purpose,55,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Hard Drawn,36,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,"Light Drawn, Light Cold Rolled",55,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Noal Grain Size 0.025 mm,40,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,Nominal Grain Size 0.050 mm,34,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tube,1/2 Hard,32,99.95,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/4 Hard,42,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,38,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,As Hot Rolled,36,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Extra Spring,32,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,57,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Hard,50,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Noal Grain Size 0.025 mm,45,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Nominal Grain Size 0.050 mm,34,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,Spring,32,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/2 Hard,55,99.95,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/4 Hard,42,99.9,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
products,1/8 Hard,38,99.9,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
